|I1|	CFD	CIND	CFD+CIND
10	0.755102041	0.322234157	0.755102041
20	0.760822511	0.324675325	0.760822511
30	0.748396294	0.320741269	0.748396294
40	0.777161863	0.332594235	0.777161863
50	0.776053215	0.332594235	0.776053215
60	0.768991397	0.329489292	0.768991397
70	0.774826059	0.332068311	0.774826059
80	0.774046434	0.331674959	0.774046434
90	0.773006135	0.331288344	0.773006135

