435666		59.306	45.205	9.401	10.901	62.406	46.805	11.001
1070376		316.7	351		21.9	20.2	354.2	259		21.8
1890815		546		405.6	31.2	31.2	519.5	383.8	32.8
3598623		274.5	209		26.5	28		277.7	213.7	29.6
6262104		661.4	469.5	32.7	32.8	681.7	503.9	35.9
14081816	767.5	536.6	48.4	48.4	809.6	578.8	51.5
23947347	2062.3	1475.9	71.8	71.7	2141.8	1560	76.4
