#Aminer	Ensemble	FR	PR	HHGB
1	0.68258	0.60607	0.317771	0.619735
2	0.717667	0.668606	0.560957	0.680301
3	0.74222	0.702639	0.632994	0.71379
4	0.748827	0.711217	0.641796	0.72244
5	0.749538	0.711937	0.642033	0.723204
6	0.74954	0.711923	0.64201	0.72323







