#0	0.795031	0.795031	0.842203	0.842203	
0.1	0.79089	0.795031	0.846373	0.84686	-0.0487
0.2	0.792961	0.792961	0.849083	0.849393	-0.031
0.3	0.791925	0.789855	0.851373	0.851477	-0.0104
0.4	0.793996	0.780538	0.85263	0.852993	-0.0363
0.5	0.778468	0.774327	0.852577	0.85236	0.0217
0.6	0.755694	0.754658	0.850817	0.849237	0.158
0.7	0.743271	0.716356	0.84633	0.842683	0.3647
0.8	0.727743	0.665631	0.83771	0.830563	0.7147
0.9	0.718427	0.616977	0.82278	0.810363	1.2417
1	0.687371	0.586957	0.7652	0.74104	2.416
