#MAG	Ensemble	FR	PR	HHGB
1	0.756505	0.635256	0.323131	0.710486
2	0.821747	0.727873	0.561912	0.784661
3	0.853252	0.77684	0.659142	0.824189
4	0.862534	0.792279	0.684861	0.835755
5	0.863839	0.794602	0.688934	0.837039
6	0.86382	0.794953	0.689607	0.837233


