435666		582	772	43	41	4240	4669
1070376		1413	1739	55	56	10719	16684
1890815		1955	2394	95	98	22699	32365
3598623		2796	3485	147	150	31749	44275
6262104		3612	4435	127	126	37537	57122
14081816	6283	7905	0	0	59777	102945
23947347	0	0	0	0	141920	198065
