noise%	CFD	CIND	CFD+CIND
1	0.77092511	0.330396476	0.77092511
2	0.765864333	0.328227571	0.765864333
3	0.767263427	0.328827183	0.767263427
4	0.772664646	0.330669606	0.772664646
5	0.771195772	0.330323717	0.771195772
6	0.775050747	0.332164606	0.775050747
7	0.771603967	0.330552495	0.771603967
8	0.770606853	0.33026008	0.770606853
9	0.777229555	0.333045516	0.777229555
