#MAG	Ensemble	FR	PR	HHGB
1	0.755309	0.63222	0.320348	0.70959
2	0.804539476	0.721651391	0.577606757	0.768114751
3	0.832655947	0.775399642	0.696356162	0.808878754
4	0.841471651	0.794168577	0.73178758	0.823641837
5	0.842301687	0.79738252	0.738235136	0.825812031
6	0.842473333	0.797996667	0.7392	0.826253333


