#	FutureRank	Batch	Power	Inc	HHGBiRank
2009	2.432	1.01	2.136	0.612	120.776
2010	2.679	1.173	2.372	0.776	153.508
2011	3.359	1.245	2.615	0.909	196.104
2012	3.955	1.451	2.888	1.032	243.787
2013	4.655	1.532	3.204	1.175	299.661
2014	5.528	1.641	3.472	1.297	370.405
2015	6.181	1.742	3.719	1.404	398.609
2016	6.764	1.829	3.866	1.443	426.441




