#year bat inc pow
2009	1.684	0.534	3.433
2010	1.995	0.949	3.851
2011	2.311	1.051	4.232
2012	2.734	1.27	4.574
2013	2.976	1.731	5.048
2014	3.298	1.993	5.535
2015	3.516	2.102	5.794
2016	3.689	2.158	5.942






