#AAN	Ensemble	FR	PR	HHGB
1	0.678537957	0.668541	0.154639	0.601062
2	0.760695401	0.732815254	0.490786733	0.703813491
3	0.779299095	0.748158766	0.585141614	0.729771143
4	0.792785473	0.761303164	0.623024739	0.747532193
5	0.795003892	0.764538008	0.635854861	0.753344946
6	0.794864	0.764516	0.635825	0.753363




